"Survey","Indicator","Data","Metadata","data_link"
"Coastal 2010","Sediment","NCCA 2010 Sediment Indicator Status Revised - Data (CSV)(1 pg, 367 K)","NCCA 2010 Sediment Indicator Status Revised - Metadata (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2016-06/ncca2010_sediment_indicator_status_revised_06212016.csv"
"Coastal 2010","Underwater Video","NCCA 2010 Underwater Video Highlight - Data (CSV)(1 pg, 66 K)","NCCA 2010 Underwater Video Highlight - Metadata (TXT)(1 pg, 13 K)","https://www.epa.gov/sites/production/files/2016-02/ncca_2010_underwater_video_highlight_data_csv.csv"
"Coastal 2010","Water Chemistry","NCCA 2010 Assessed Water Chemistry - Data (CSV)(1 pg, 901 K)","NCCA 2010 Water Chemistry - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2016-01/assessed_ncca2010_waterchem.csv"
"Coastal 2010","Water Chemistry","NCCA 2010 Not Assessed Water Chemistry - Data (CSV)(1 pg, 412 K)","NCCA 2010 Water Chemistry - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2016-01/not_assessed_ncca2010_waterchem.csv"
"Coastal 2010","Water Chemistry","NCCA 2010 Water Quality Indicator Status - Data (CSV)(1 pg, 364 K)","NCCA 2010 Water Quality Indicator Status - Metadata (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2016-01/ncca2010_water_quality_indicator_status.csv"
"Coastal 2010","All","NCCA 2010 Quality Assurance Codes - (CSV)(1 pg, 4 K)","","https://www.epa.gov/sites/production/files/2016-01/ncca_qa_codes.csv"
"Wetlands 2011","Algal Toxin","NWCA 2011 Algal Toxin - Data (CSV)(1 pg, 53 K)","NWCA 2011 Algal Toxin - Metadata (TXT)(1 pg, 469 B)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_algaltoxin.csv"
"Wetlands 2011","All Indicators","NWCA 2011 Condition and Stressor Indicator Values - Data (CSV)(1 pg, 351 K)","NWCA 2011 Condition and Stressor Indicator Values - Metadata (TXT)(1 pg, 7 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_cond_stress.csv"
"Wetlands 2011","Buffer Characterization","NWCA 2011 Buffer Characterization - Data (CSV)(1 pg, 19 MB)","NWCA 2011 Buffer Characterization - Metadata (TXT)(1 pg, 9 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_bufferchar.csv"
"Wetlands 2011","Chlorophyll-a","NWCA 2011 Chlorophyll-a - Data (CSV)(1 pg, 61 K)","NWCA 2011 Chlorophyll-a - Metadata (TXT)(1 pg, 830 B)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_chla.csv"
"Wetlands 2011","Disturbance Gradient","NWCA 2011 Disturbance Gradient Inputs - Data (CSV)(1 pg, 150 K)","NWCA 2011 Disturbance Gradient Inputs - Metadata (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_distgrad_inputs.csv"
"Wetlands 2011","Hydrology","NWCA 2011 Hydrology - Data (CSV)(1 pg, 581 K)","NWCA 2011 Hydrology - Metadata (TXT)(1 pg, 13 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_hydro.csv"
"Wetlands 2011","Landscape Data","NWCA 2011 Landscape Metrics - Data (CSV)(1 pg, 2 MB)","NWCA 2011 Landscape Metrics - Metadata (TXT)(1 pg, 32 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_landscapechar.csv"
"Wetlands 2011","Sediment","NWCA 2011 Sediment Enzymes - Data (CSV)(1 pg, 945 K)","NWCA 2011 Sediment Enzymes - Metadata (TXT)(1 pg, 5 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_sedenzymes.csv"
"Wetlands 2011","Site Information","NWCA 2011 AA Characterization - Data (CSV)(1 pg, 213 K)","NWCA 2011 AA Characterization - Metadata (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_aachar.csv"
"Wetlands 2011","Site Information","NWCA 2011 Site Information - Data (CSV)(1 pg, 837 K)","NWCA 2011 Site Information - Metadata (TXT)(1 pg, 9 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_siteinfo.csv"
"Wetlands 2011","Soil Chemistry","NWCA 2011 Soil Chemistry - Data (CSV)(1 pg, 2 MB)","NWCA 2011 Soil Chemistry - Metadata (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_soilchem.csv"
"Wetlands 2011","Soil Profile","NWCA 2011 Soil Profile Horizon Descriptions - Data (CSV)(1 pg, 3 MB)","NWCA 2011 Soil Profile Horizon Descriptions - Metadata (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_soilprofhorizons.csv"
"Wetlands 2011","Soil Profile","NWCA 2011 Soil Profile Pit Attributes and Hydric Indicators - Data (CSV)(1 pg, 747 K)","NWCA 2011 Soil Profile Pit Attributes and Hydric Indicators - Metadata (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_soilprofsum.csv"
"Wetlands 2011","Surface Water Characterization","NWCA 2011 Surface Water Characterization - Data (CSV)(1 pg, 333 K)","NWCA 2011 Surface Water Characterization - Metadata (TXT)(1 pg, 5 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_aawaterchar.csv"
"Wetlands 2011","USARAM","NWCA 2011 USARAM Attribute Values - Data (CSV)(1 pg, 3 MB)","NWCA 2011 USARAM Attribute Values - Metadata (TXT)(1 pg, 13 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_usaram_attributes.csv"
"Wetlands 2011","USARAM","NWCA 2011 USARAM Summary - Data (CSV)(1 pg, 130 K)","NWCA 2011 USARAM Summary - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_usaram_summary.csv"
"Wetlands 2011","Vegetation","NWCA 2011 Floras Used and Veg Plot Layout - Data (CSV)(1 pg, 314 K)","NWCA 2011 Floras Used and Veg Plot Layout - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_floras_vegplotlayout.csv"
"Wetlands 2011","Vegetation","NWCA 2011 Plant Taxonomy and Life History - Data (CSV)(1 pg, 543 K)","NWCA 2011 Plant Taxonomy and Life History - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_planttaxa.csv"
"Wetlands 2011","Vegetation","NWCA 2011 Plant CC and Native Status Values - Data (CSV)(1 pg, 831 K)","NWCA 2011 Plant CC and Native Status Values - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_planttaxa_cc_natstat.csv"
"Wetlands 2011","Vegetation","NWCA 2011 Plant Vouchers - Data (CSV)(1 pg, 976 K)","NWCA 2011 Plant Vouchers - Metadata (TXT)(1 pg, 608 B)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_plantvoucher.csv"
"Wetlands 2011","Vegetation","NWCA 2011 Plant Wetland Indicator Status -  Data (CSV)(1 pg, 1 MB)","NWCA 2011 Plant Wetland Indicator Status -  Metadata (TXT(1 pg, 706 B)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_planttaxa_wis.csv"
"Wetlands 2011","Vegetation","NWCA 2011 Trees - Data (CSV)(1 pg, 20 MB)","NWCA 2011 Trees - Metadata (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_tree.csv"
"Wetlands 2011","Vegetation","NWCA 2011 Veg Plot Location - Data (CSV)(1 pg, 158 K)","NWCA 2011 Veg Plot Location - Metadata (TXT)(1 pg, 1 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_vegplotloc.csv"
"Wetlands 2011","Vegetation","NWCA 2011 Vegetation MMI Values - Data (CSV)(1 pg, 131 K)","NWCA 2011 Vegetation MMI Values - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_vegmmi.csv"
"Wetlands 2011","Vegetation","NWCA 2011 Vegetation Type and Ground Surface -  Data (CSV)(1 pg, 2 MB)","NWCA 2011 Vegetation Type and Ground Surface -  Metadata (TXT)(1 pg, 5 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_vegtype_grndsurf.csv"
"Wetlands 2011","Vegetation","NWCA 2011 Plant Species Cover and Height - Data (CSV)(1 pg, 24 MB)","NWCA 2011 Plant Species Cover and Height - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_plant_pres_cvr.csv"
"Wetlands 2011","Vegetation","NWCA 2011 Vegetation Metrics - Data (CSV)(1 pg, 2 MB)","NWCA 2011 Vegetation Metrics - Metadata (TXT)(1 pg, 57 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_vegmetrics.csv"
"Wetlands 2011","Water Chemistry","NWCA 2011 Water Chemistry - Data (CSV)(1 pg, 166 K)","NWCA 2011 Water Chemistry - Metadata (TXT)(1 pg, 1 K)","https://www.epa.gov/sites/production/files/2016-10/nwca2011_waterchem.csv"
"Lakes 2012","Algal Toxin","NLA 2012 Algal Toxins - Data (CSV)(1 pg, 225 K)","NLA 2012 Algal Toxins - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2016-11/nla2012_algaltoxins_08192016.csv"
"Lakes 2012","Atrazine","NLA 2012 Atrazine - Data (CSV)(1 pg, 156 K)","NLA 2012 Atrazine - Metadata (TXT)(1 pg, 1 K)","https://www.epa.gov/sites/production/files/2016-11/nla2012_atrazine_08192016.csv"
"Lakes 2012","Benthic Macroinvertebrates","NLA 2012 Benthic Condition - Data (CSV)(1 pg, 115 K)","NLA 2012 Benthic Condition - Metadata (TXT)(1 pg, 1 K)","https://www.epa.gov/sites/production/files/2016-11/nla2012_bentcond_08232016.csv"
"Lakes 2012","Benthic Macroinvertebrates","NLA 2012 Benthic Count - Data (CSV)(1 pg, 7 MB)","NLA 2012 Benthic Count - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2016-11/nla2012_wide_benthic_08232016.csv"
"Lakes 2012","Benthic Macroinvertebrates","NLA 2012 Benthic Metrics - Data (CSV)(1 pg, 782 K)","NLA 2012 Benthic Metrics - Metadata (TXT)(1 pg, 13 K)","https://www.epa.gov/sites/production/files/2016-11/nla2012_bentmet.csv"
"Lakes 2012","Benthic Macroinvertebrates","NLA 2012 Benthic Taxa List - Data (CSV)(1 pg, 79 K)","NLA 2012 Benthic Taxa List - Metadata (TXT)(1 pg, 1 K)","https://www.epa.gov/sites/production/files/2016-11/nla2012_benttaxa_wide_10272015.csv"
"Lakes 2012","Chlorophyll-a","NLA 2012 Chlorophyll-a - Data (CSV)(1 pg, 172 K)","NLA 2012 Chlorophyll-a - Metadata (TXT)(1 pg, 3 K)","https://www.epa.gov/sites/production/files/2016-11/nla2012_chla_wide.csv"
"Lakes 2012","Physical Habitat","NLA 2012 Phab - Data (CSV)(1 pg, 8 MB)","NLA 2012 Phab - Metadata (TXT)(1 pg, 13 K)","https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phab_08232016_0.csv"
"Lakes 2012","All","NLA 2012 Condition Categories - Data (CSV)(1 pg, 407 K)","NLA 2012 Condition Categories - Metadata (CSV)(1 pg, 8 K)","https://www.epa.gov/sites/production/files/2016-12/nla_2012_condition_categories.csv"
"Lakes 2012","All","NLA 2012 Key Variables - Data (CSV)(1 pg, 349 K)","NLA 2012 Key Variables - Metadata (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2017-02/nla12_keyvariables_data.csv"
"Lakes 2012","Landscape Data","NLA 2012 Lake Polygon Shapefile (ZIP)(1 pg, 25 MB)","","https://www.epa.gov/sites/production/files/2017-10/nla_2012_sites_sampled.zip"
"Lakes 2012","Landscape Data","NLA 2012 Basin Shapefile (ZIP)(1 pg, 7 MB)","","https://www.epa.gov/sites/production/files/2017-10/nla2012_lake_basins.zip"
"Lakes 2012","Physical Habitat","NLA 2012 Phab Metrics - Data (CSV)(1 pg, 3 MB)","NLA 2012 Phab Metrics - Metadata (TXT)(1 pg, 62 K)","https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_phabmet_10202016.csv"
"Lakes 2012","Phytoplankton","NLA 2012 Phytoplankton Count - Data (CSV)(1 pg, 9 MB)","NLA 2012 Phytoplankton Count - Metadata (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2017-02/nla2012_wide_phytoplankton_count_02122014.csv"
"Lakes 2012","Phytoplankton","NLA 2012 Phytoplankton Taxa List - Data (CSV)(1 pg, 126 K)","NLA 2012 Phytoplankton Taxa List - Metadata (TXT)(1 pg, 728 B)","https://www.epa.gov/sites/production/files/2016-12/nla2012_phytotaxa_wide_10272015.csv"
"Lakes 2012","Water Chemistry","NLA 2012 Profile - Data (CSV)(1 pg, 3 MB)","NLA 2012 Profile - Metadata (TXT)(1 pg, 4 K)","https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_profile_08232016.csv"
"Lakes 2012","Secchi","NLA 2012 Secchi - Data (CSV)(1 pg, 97 K)","NLA 2012 Secchi - Metadata (TXT)(1 pg, 988 B)","https://www.epa.gov/sites/production/files/2016-12/nla2012_secchi_08232016.csv"
"Lakes 2012","Sediment","NLA 2012 Sediment Mercury - Data (CSV)(1 pg, 100 K)","NLA 2012 Sediment Mercury - Metadata (TXT)(1 pg, 1 K)","https://www.epa.gov/sites/production/files/2016-12/nla2012_topsedhg_08192016.csv"
"Lakes 2012","Site Information","NLA 2012 Site Information - Data (CSV)(1 pg, 2 MB)","NLA 2012 Site Information - Metadata (TXT)(1 pg, 17 K)","https://www.epa.gov/sites/production/files/2016-12/nla2012_wide_siteinfo_08232016.csv"
"Lakes 2012","Water Chemistry","NLA 2012 Water Chemistry - Data (CSV)(1 pg, 1 MB)","NLA 2012 Water Chemistry - Metadata (TXT)(1 pg, 14 K)","https://www.epa.gov/sites/production/files/2016-12/nla2012_waterchem_wide.csv"
"Lakes 2012","Water Isotope Variables","NLA 2012 Water Isotope Variables - Data (CSV)(1 pg, 141 K)","NLA 2012 Water Isotope Variables - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2018-08/nla2012_isotopes_wide.csv"
"Lakes 2012","Zooplankton","NLA 2012 Zooplankton Condition - Data (CSV)(1 pg, 116 K)","NLA 2012 Zooplankton Condition - Metadata (TXT)(1 pg, 1 K)","https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopcond_08192016.csv"
"Lakes 2012","Zooplankton","NLA 2012 Zooplankton Metrics - Data (CSV)(1 pg, 1 MB)","NLA 2012 Zooplankton Metrics - Metadata (TXT)(1 pg, 33 K)","https://www.epa.gov/sites/production/files/2016-12/nla2012_zoopmets_08192016.csv"
"Lakes 2012","Zooplankton","NLA 2012 Zooplankton Taxa List - Data (CSV)(1 pg, 71 K)","NLA 2012 Zooplankton Taxa List - Metadata (TXT)(1 pg, 1 K)","https://www.epa.gov/sites/production/files/2016-12/nla2012_zooptaxa_wide_10272015.csv"
"Lakes 2012","Zooplankton","NLA 2012 Zooplankton Count - Data (CSV)(1 pg, 7 MB)","NLA 2012 Zooplankton Count - Metadata (TXT)(1 pg, 2 K)","https://www.epa.gov/sites/production/files/2017-02/nla2012_zoopcnt_04032014.csv"
