YEAR,UID,SITE_ID,DOC,DOC_ALERT,NTL,NTL_ALERT,PTL,PTL_ALERT,CN,CP,NP
2008,10000,FW08KS001,3.05,NA,1316,NA,63.7256,NA,2.7035790842990512,123.41959134802958,45.65044613075493
2008,10001,FW08KS003,1.02,NA,2219,NA,67.6794,NA,0.5362138131097752,38.86349639971401,72.47761144817387
2008,10002,FW08KS005,8.27,NA,2024,H,387.3913,H,4.766396086265397,55.04955901988261,11.549514145186253
2008,10003,FW08KS006,2.22,NA,3963,H,138.0413,NA,0.6534675557398862,41.47077312228415,63.46263522651712
2008,10004,FW08KS012,1.47,NA,362,H,36.69,H,4.737005534062314,103.31605646153416,21.810414980227684
2008,10006,FW08KS036,2.98,NA,1714,NA,32.6069,NA,2.028152346789966,235.67035199093002,116.19953124524123
2008,10007,FW08KS039,2.02,NA,1184,H,342.0175,H,1.9901911695208947,15.23004684811967,7.652554730099646
2008,10060,FW08LA011,4.06,NA,491,H,71.5725,H,9.645831460883748,146.2776734688096,15.164858940569511
2008,10109,FW08DE002,1.51,NA,7200,H,33.5163,NA,0.24464682209270053,116.17671069776102,474.87520869467835
2008,10828,FW08KS033,3.25,NA,1563,H,169.1581,H,2.425601825733833,49.54373687299862,20.425337888261943
2008,10829,FW08DE001,6.99,NA,1573,NA,149.0788,NA,5.183744421500837,120.90923835714625,23.324691289880317
2008,10842,FW08DE013,3.3,NA,1258,NA,102.535,NA,3.0600493229674792,82.99272070823119,27.121366994094423
2008,10854,FW08NV003,2.39,H,335,NA,370.0925,NA,8.322393030683385,16.652744345925132,2.0009562495461366
2008,10856,FW08NV069,2.08,NA,256,NA,41.2581,NA,9.478039134054953,130.0026810167043,13.716200068176521
2008,10857,FW08NV003,3.21,NA,486,H,409.5144,H,7.7048447281586325,20.21315250245341,2.623434113938869
2008,10858,FW08NV004,1.15,HS,91,HS,13.2125,HS,14.7418360157744,224.4455700350622,15.225075750055542
2008,10871,FW08NV004,0.72,S,118,S,15.7469,S,7.117797315796158,117.90592366384588,16.564945366199648
2008,10872,FW08NV005,0.5,S,168,S,18.155,S,3.4718092066135355,71.0185742121169,20.455782557645115
2008,10875,FW08NV006,1.52,S,242,S,31.205,S,7.326952057858121,125.60808630206017,17.143293051487362
2008,10876,FW08NV008,1,S,119,HS,28.8438,HS,9.802755406908808,89.40168873872253,9.120057068415049
2008,10885,FW08NV009,0.62,S,658,HS,23.4713,HS,1.099160021157647,68.11656560897855,61.971473031958936
2008,10886,FW08NV010,1.45,S,105,HS,31.54,HS,16.10919471868681,118.55080605519498,7.359201258997446
2008,10887,FW08NV011,3.27,NA,482,NA,134.94,NA,7.91399628939922,62.48924029145713,7.896041141080811
2008,10888,FW08NV012,1.22,NA,1296,H,30.745,H,1.0981203934992443,102.32541890268978,93.18233183578535
2008,10889,FW08NV014,1.22,S,293,HS,29.761,HS,4.8572151193686715,105.70864568271219,21.763220916691026
2008,10890,FW08NV015,3.56,S,346,HS,284.1338,HS,12.002425724227884,32.30913242115298,2.691883554499682
2008,10893,FW08NV019,2.3,S,256,HS,23.51,HS,10.480524042464612,252.2745294843266,24.070793450992497
2008,10895,FW08NV019,1.8,S,271,HS,19.2163,HS,7.748155749667404,241.54660227804195,31.174722099308667
2008,10896,FW08NV022,8.92,NA,690,H,174.9388,H,15.080331607718206,131.4852114705619,8.718986749818349
2008,10897,FW08NV026,5.12,S,913,S,308.615,S,6.54175554690186,42.78101932753385,6.539684801856393
2008,10898,FW08NV028,2.49,H,251,NA,103.0988,NA,11.572328504466729,62.27933040741982,5.3817458071105575
2008,10899,FW08NV029,0.8,NA,185,H,36.4075,H,5.044444944528208,56.662708060525226,11.23269431694129
2008,10900,FW08NV031,13.52,H,1120,NA,88.44,NA,14.0816581420245,394.2086554586089,27.994477034075622
2008,10901,FW08NV032,0.92,NA,280,NA,14.5688,NA,3.8328773641013436,162.84043128264565,42.48516605509115
2008,10918,FW08NV033,0.67,S,168,HS,34.2513,HS,4.6522243368621385,50.442423144818356,10.842646332666122
2008,10922,FW08NV034,2.91,S,434,HS,133.4188,HS,7.8216501609641735,56.243735442517234,7.190776151459078
2008,10926,FW08NV035,13.83,HS,1232,S,54.8063,S,13.095033089308691,650.7136161709215,49.69163588461567
2008,10927,FW08NV037,1.7,S,196,HS,35.8325,HS,10.117843973559447,122.34043202096812,12.091551553935346
2008,10928,FW08NV038,12.01,S,786,HS,156.95,HS,17.82442748091603,197.32398853137946,11.07042505250994
2008,10951,FW08NV049,1.17,S,617,S,123.6519,S,2.212054514268903,24.399631406238797,11.030302937313918
2008,10954,FW08NV040,5.4,NA,519,H,197.6075,H,12.137284440230443,70.46744642823077,5.805865947629784
2008,10956,FW08NV050,5.63,NA,584,H,100.4963,H,11.245808287614201,144.46296369999953,12.845938682691816
2008,10958,FW08CA044,7.96,S,1056,HS,469.99,HS,8.793145863295736,43.67396765878006,4.966819422509923
2008,10962,FW08NV051,2.26,NA,243,H,27.7113,H,10.849189461457016,210.3050672826912,19.384403602667643
2008,10963,FW08NV053,2.8,HS,233,HS,47.7663,HS,14.01836095099577,151.15921482295053,10.782944978472193
2008,10964,FW08NV054,1.15,H,639,H,153.9725,H,2.0993850977080912,19.259848960614786,9.174042905058656
2008,10965,FW08NV056,5.53,NA,494,H,154.7088,H,13.058500507337003,92.1739739169334,7.058541971579728
2008,10969,FW08CA059,1.3,NA,154,H,11.7113,H,9.847313386031121,286.2440342690013,29.068236487228276
